,sheetcell,sheetformula,var_name
45,s!G12,=s!F12*0.9485,Bevoelkerung_Gross_Kelle__Personen
43,s!G20,=s!F20*0.9485,Bevoelkerung_Ludorf__Personen
44,s!G24,=s!F24*0.9485,Bevoelkerung_Roebel__Personen
46,s!G10,=s!F10*0.9485,Bevoelkerung_Gotthun__Personen
47,s!G22,=s!F22*0.9485,Bevoelkerung_Minzow__Personen
48,s!G14,=s!F14*0.9485,Bevoelkerung_Leizen__Personen
49,s!G7,=s!F7*0.9485,Bevoelkerung_Buetow__Personen
50,s!G8,=s!F8*0.9485,Bevoelkerung_Dambeck__Personen
60,s!G2,=s!F2*0.9485,Bevoelkerung_Bollewick__Personen
94,s!D32,=SUM(s!D2:D31),Einwohner_aus_Quelle__Personen
59,s!O35,=s!Q32/s!I32,Flaeche_pro_Wohngebaeude__m2
76,s!O36,=s!O35^0.5,Grundstueckslaenge__m
124,s!I35,=s!D32/s!I32,Bewohner_pro_Wohngebaeude
127,u!B4,=s!O34,mittlere_Zweiglaenge__Unterverteilung_erdverlegt__m
4,u!K23,=(50+20)*2*PI()*u!B12*u!C16/LN(1+u!B11*2/u!F23)/1000,Leistungsverlust_Vor_u__Ruecklauf_Zweigabschnitt_1_bei_Normleistung__kW
5,u!K24,=(50+20)*2*PI()*u!B12*u!C16/LN(1+u!B11*2/u!F24)/1000,Leistungsverlust_Vor_u__Ruecklauf_Zweigabschnitt_2_bei_Normleistung__kW
6,h!P21,=(50+20)*2*PI()*h!G16*h!E21/LN(1+h!D16*2/h!H21)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_1__kW
7,h!P22,=(50+20)*2*PI()*h!G16*h!E22/LN(1+h!D16*2/h!H22)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_2__kW
8,h!P23,=(50+20)*2*PI()*h!G16*h!E23/LN(1+h!D16*2/h!H23)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_3__kW
9,h!P24,=(50+20)*2*PI()*h!G16*h!E24/LN(1+h!D16*2/h!H24)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_4__kW
10,h!P25,=(50+20)*2*PI()*h!G16*h!E25/LN(1+h!D16*2/h!H25)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_5__kW
11,h!P26,=(50+20)*2*PI()*h!G16*h!E26/LN(1+h!D16*2/h!H26)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_6__kW
12,h!P27,=(50+20)*2*PI()*h!G16*h!E27/LN(1+h!D16*2/h!H27)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_7__kW
13,h!P28,=(50+20)*2*PI()*h!G16*h!E28/LN(1+h!D16*2/h!H28)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_8__kW
14,h!P29,=(50+20)*2*PI()*h!G16*h!E29/LN(1+h!D16*2/h!H29)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_9__kW
15,h!P30,=(50+20)*2*PI()*h!G16*h!E30/LN(1+h!D16*2/h!H30)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_10__kW
16,h!P31,=(50+20)*2*PI()*h!G16*h!E31/LN(1+h!D16*2/h!H31)/1000,Leistungsverlust_Vor_u__Ruecklauf_Leitung_11__kW
17,u!L23,=u!K23*24*180,Jahreswaermeverluste_Zweigabschnitt_1_bei_Normleistung__kWh_pro_a
18,u!L24,=u!K24*24*180,Jahreswaermeverluste_Zweigabschnitt_2_bei_Normleistung__kWh_pro_a
28,h!Q21,=h!P21*24*180,Waermeverluste_Leitung_1__kWh_pro_a
29,h!Q22,=h!P22*24*180,Waermeverluste_Leitung_2__kWh_pro_a
30,h!Q23,=h!P23*24*180,Waermeverluste_Leitung_3__kWh_pro_a
31,h!Q24,=h!P24*24*180,Waermeverluste_Leitung_4__kWh_pro_a
32,h!Q25,=h!P25*24*180,Waermeverluste_Leitung_5__kWh_pro_a
33,h!Q26,=h!P26*24*180,Waermeverluste_Leitung_6__kWh_pro_a
34,h!Q27,=h!P27*24*180,Waermeverluste_Leitung_7__kWh_pro_a
35,h!Q28,=h!P28*24*180,Waermeverluste_Leitung_8__kWh_pro_a
36,h!Q29,=h!P29*24*180,Waermeverluste_Leitung_9__kWh_pro_a
37,h!Q30,=h!P30*24*180,Waermeverluste_Leitung_10__kWh_pro_a
38,h!Q31,=h!P31*24*180,Waermeverluste_Leitung_11__kWh_pro_a
42,u!L25,=SUM(u!L23:L24),Jahreswaermeverluste_Zweigabschnitt_gesamt_bei_Normleistung__kWh_pro_a
58,h!Q32,=SUM(h!Q21:Q31),Waermeverluste_Leitung___kWh_pro_a
